Data;Horário;id_time_mandantes;Em casa;Resultado;id_time_visitante;Visitante;Público;Local
04/05/2024;21:00;6;Corinthians;0–0;12;Fortaleza;42,456;Neo Química Arena
11/05/2024;16:00;10;Flamengo;2–0;6;Corinthians;56,829;Estadio Jornalista Mário Filho
12/05/2024;16:00;16;Palmeiras;0–2;1;Athletico Paranaense;12,108;Arena Barueri
12/05/2024;16:00;2;Atlético Goianiense;0–1;8;Cruzeiro;7,576;Estádio Antônio Accioly
12/05/2024;16:00;12;Fortaleza;1–1;5;Botafogo (RJ);15,914;Estádio Castelão
12/05/2024;18:30;4;Bahia;1–0;17;Red Bull Bragantino;36,82;Itaipava Arena Fonte Nova
12/05/2024;18:30;19;Vasco da Gama;2–1;20;Vitória;11,084;Estádio Club de Regatas Vasco da Gama
13/05/2024;20:00;18;São Paulo;2–1;11;Fluminense;39,515;Estádio do Morumbi
01/06/2024;16:00;20;Vitória;0–2;2;Atlético Goianiense;16,008;Estádio Manoel Barradas
01/06/2024;16:00;13;Grêmio;0–2;17;Red Bull Bragantino;7,563;Estádio Major Antônio Couto Pereira
01/06/2024;17:30 (18:30);9;Cuiabá;0–1;14;Internacional;5,747;Arena Pantanal
01/06/2024;18:30;11;Fluminense;1–1;15;Juventude;21,037;Estadio Jornalista Mário Filho
02/06/2024;16:00;7;Criciúma;1–2;16;Palmeiras;19,027;Estádio Heriberto Hülse
02/06/2024;16:00;3;Atlético Mineiro;1–1;4;Bahia;37,994;Arena MRV
02/06/2024;16:00;19;Vasco da Gama;1–6;10;Flamengo;62,228;Estadio Jornalista Mário Filho
02/06/2024;18:30;18;São Paulo;2–0;8;Cruzeiro;44,928;Estádio do Morumbi
02/06/2024;18:30;12;Fortaleza;1–0;1;Athletico Paranaense;12,191;Estádio Municipal Presidente Getúlio Var...
01/06/2024;21:00;6;Corinthians;0–1;5;Botafogo (RJ);41,281;Neo Química Arena
05/06/2024;19:00 (20:00);9;Cuiabá;0–0;20;Vitória;3,614;Arena Pantanal
05/06/2024;19:00;15;Juventude;1–0;2;Atlético Goianiense;5,123;Estádio Alfredo Jaconi
09/06/2024;16:00;7;Criciúma;2–5;9;Cuiabá;13,846;Estádio Heriberto Hülse
11/06/2024;19:00;15;Juventude;1–1;20;Vitória;6,186;Estádio Alfredo Jaconi
11/06/2024;19:00;2;Atlético Goianiense;2–2;6;Corinthians;1,208;Estádio Antônio Accioly
11/06/2024;20:00;5;Botafogo (RJ);1–0;11;Fluminense;27,239;Estádio Nilton Santos
11/06/2024;21:30;17;Red Bull Bragantino;1–2;3;Atlético Mineiro;4,617;Estádio Nabi Abi Chedid
13/06/2024;19:00;8;Cruzeiro;2–1;9;Cuiabá;26,595;Estádio Governador Magalhães Pinto
13/06/2024;20:00;10;Flamengo;2–1;13;Grêmio;51,785;Estadio Jornalista Mário Filho
13/06/2024;20:00;14;Internacional;0–0;18;São Paulo;17,987;Estádio Heriberto Hülse
13/06/2024;20:00;1;Athletico Paranaense;3–1;7;Criciúma;23,424;Ligga Arena
13/06/2024;21:30;4;Bahia;1–0;12;Fortaleza;29,889;Itaipava Arena Fonte Nova
13/06/2024;21:30;16;Palmeiras;2–0;19;Vasco da Gama;37,641;Allianz Parque
15/06/2024;18:30;17;Red Bull Bragantino;2–1;15;Juventude;3,338;Estádio Nabi Abi Chedid
16/06/2024;16:00;20;Vitória;2–1;14;Internacional;14,251;Estádio Manoel Barradas
16/06/2024;16:00;6;Corinthians;2–2;18;São Paulo;46,129;Neo Química Arena
16/06/2024;16:00;1;Athletico Paranaense;1–1;10;Flamengo;38,641;Ligga Arena
16/06/2024;17:30 (18:30);9;Cuiabá;5–0;12;Fortaleza;4,474;Arena Pantanal
16/06/2024;18:30;7;Criciúma;2–2;4;Bahia;8,661;Estádio Heriberto Hülse
16/06/2024;18:30;13;Grêmio;1–2;5;Botafogo (RJ);15,595;Estádio Kleber José de Andrade
16/06/2024;18:30;19;Vasco da Gama;0–0;8;Cruzeiro;11,275;Estádio Club de Regatas Vasco da Gama
15/06/2024;21:00;11;Fluminense;1–2;2;Atlético Goianiense;14,485;Estadio Jornalista Mário Filho
17/06/2024;20:30;3;Atlético Mineiro;0–4;16;Palmeiras;28,251;Arena MRV
19/06/2024;19:00;2;Atlético Goianiense;1–2;7;Criciúma;6,478;Estádio Antônio Accioly
19/06/2024;19:00;5;Botafogo (RJ);1–1;1;Athletico Paranaense;19,589;Estádio Nilton Santos
19/06/2024;20:00;12;Fortaleza;1–0;13;Grêmio;16,935;Estádio Castelão
19/06/2024;20:00;18;São Paulo;0–1;9;Cuiabá;33,586;Estádio do Morumbi
19/06/2024;20:00;15;Juventude;2–0;19;Vasco da Gama;4,838;Estádio Alfredo Jaconi
20/06/2024;18:30;20;Vitória;4–2;3;Atlético Mineiro;15,044;Estádio Manoel Barradas
20/06/2024;20:00;10;Flamengo;2–1;4;Bahia;49,909;Estadio Jornalista Mário Filho
19/06/2024;21:30;14;Internacional;1–0;6;Corinthians;14,447;Estádio Orlando Scarpelli
19/06/2024;21:30;8;Cruzeiro;2–0;11;Fluminense;28,812;Estádio Governador Magalhães Pinto
20/06/2024;21:30;16;Palmeiras;2–1;17;Red Bull Bragantino;29,119;Allianz Parque
22/06/2024;16:00;7;Criciúma;2–1;5;Botafogo (RJ);16,256;Estádio Heriberto Hülse
22/06/2024;17:30 (18:30);9;Cuiabá;0–0;2;Atlético Goianiense;4,635;Arena Pantanal
22/06/2024;17:30;13;Grêmio;0–1;14;Internacional;27,961;Estádio Major Antônio Couto Pereira
23/06/2024;16:00;11;Fluminense;0–1;10;Flamengo;57,098;Estadio Jornalista Mário Filho
23/06/2024;16:00;4;Bahia;4–1;8;Cruzeiro;35,541;Itaipava Arena Fonte Nova
23/06/2024;16:00;1;Athletico Paranaense;1–1;6;Corinthians;34,682;Ligga Arena
23/06/2024;18:30;3;Atlético Mineiro;1–1;12;Fortaleza;20,089;Arena MRV
23/06/2024;18:30;16;Palmeiras;3–1;15;Juventude;38,258;Allianz Parque
23/06/2024;18:30;17;Red Bull Bragantino;2–1;20;Vitória;4,426;Estádio Nabi Abi Chedid
22/06/2024;21:30;19;Vasco da Gama;4–1;18;São Paulo;4,897;Estádio Club de Regatas Vasco da Gama
26/06/2024;19:00;5;Botafogo (RJ);2–1;17;Red Bull Bragantino;13,333;Estádio Nilton Santos
26/06/2024;19:00;8;Cruzeiro;2–0;1;Athletico Paranaense;26,465;Estádio Governador Magalhães Pinto
26/06/2024;20:00;15;Juventude;2–1;10;Flamengo;12,675;Estádio Alfredo Jaconi
26/06/2024;20:00;2;Atlético Goianiense;1–1;13;Grêmio;7,319;Estádio Antônio Accioly
26/06/2024;20:00;6;Corinthians;1–1;9;Cuiabá;38,475;Neo Química Arena
27/06/2024;19:00;11;Fluminense;0–1;20;Vitória;24,269;Estadio Jornalista Mário Filho
27/06/2024;20:00;18;São Paulo;2–1;7;Criciúma;28,008;Estádio do Morumbi
26/06/2024;21:30;4;Bahia;2–1;19;Vasco da Gama;38,318;Itaipava Arena Fonte Nova
26/06/2024;21:30;14;Internacional;1–2;3;Atlético Mineiro;9,978;Estádio Heriberto Hülse
26/06/2024;21:30;12;Fortaleza;3–0;16;Palmeiras;28,613;Estádio Castelão
29/06/2024;17:30 (18:30);9;Cuiabá;1–1;17;Red Bull Bragantino;5,024;Arena Pantanal
29/06/2024;18:30;19;Vasco da Gama;1–1;5;Botafogo (RJ);15,593;Estádio Club de Regatas Vasco da Gama
30/06/2024;11:00;3;Atlético Mineiro;1–1;2;Atlético Goianiense;36,099;Arena MRV
30/06/2024;16:00;18;São Paulo;3–1;4;Bahia;28,008;Estádio do Morumbi
30/06/2024;16:00;12;Fortaleza;2–1;15;Juventude;33,717;Estádio Castelão
30/06/2024;16:00;13;Grêmio;1–0;11;Fluminense;8,549;Estádio Francisco Stédile
30/06/2024;18:30;10;Flamengo;2–1;8;Cruzeiro;52,768;Estadio Jornalista Mário Filho
30/06/2024;18:30;7;Criciúma;1–1;14;Internacional;14,946;Estádio Heriberto Hülse
30/06/2024;18:30;20;Vitória;0–1;1;Athletico Paranaense;20,376;Estádio Manoel Barradas
01/07/2024;20:00;16;Palmeiras;2–0;6;Corinthians;41,175;Allianz Parque
03/07/2024;18:00 (19:00);9;Cuiabá;1–2;5;Botafogo (RJ);7,849;Arena Pantanal
03/07/2024;20:00;19;Vasco da Gama;2–0;12;Fortaleza;14,384;Estádio Club de Regatas Vasco da Gama
03/07/2024;20:00;7;Criciúma;1–0;8;Cruzeiro;12,352;Estádio Heriberto Hülse
04/07/2024;19:00;13;Grêmio;2–2;16;Palmeiras;20,797;Estádio Francisco Stédile
04/07/2024;19:00;4;Bahia;2–0;15;Juventude;40,442;Itaipava Arena Fonte Nova
04/07/2024;20:00;6;Corinthians;3–2;20;Vitória;37,689;Neo Química Arena
04/07/2024;20:00;11;Fluminense;1–1;14;Internacional;40,337;Estadio Jornalista Mário Filho
03/07/2024;21:30;1;Athletico Paranaense;1–2;18;São Paulo;28,632;Ligga Arena
03/07/2024;21:30;17;Red Bull Bragantino;3–1;2;Atlético Goianiense;3,102;Estádio Nabi Abi Chedid
03/07/2024;21:30;3;Atlético Mineiro;2–4;10;Flamengo;33,993;Arena MRV
06/07/2024;20:00;10;Flamengo;1–1;9;Cuiabá;54,948;Estadio Jornalista Mário Filho
06/07/2024;20:00;18;São Paulo;2–0;17;Red Bull Bragantino;46,321;Estádio do Morumbi
07/07/2024;16:00;12;Fortaleza;1–0;11;Fluminense;34,831;Estádio Castelão
07/07/2024;16:00;15;Juventude;3–0;13;Grêmio;7,984;Estádio Alfredo Jaconi
07/07/2024;16:00;8;Cruzeiro;3–0;6;Corinthians;55,186;Estádio Governador Magalhães Pinto
07/07/2024;18:00;14;Internacional;1–2;19;Vasco da Gama;41,693;Estádio José Pinheiro Borba
07/07/2024;18:30;2;Atlético Goianiense;1–2;1;Athletico Paranaense;6,152;Estádio Antônio Accioly
07/07/2024;18:30;16;Palmeiras;2–0;4;Bahia;40,198;Allianz Parque
07/07/2024;18:30;20;Vitória;2–1;7;Criciúma;16,615;Estádio Manoel Barradas
07/07/2024;20:30;5;Botafogo (RJ);3–0;3;Atlético Mineiro;21,582;Estádio Nilton Santos
10/07/2024;18:30;13;Grêmio;0–2;8;Cruzeiro;4,623;Estádio Francisco Stédile
10/07/2024;19:00;1;Athletico Paranaense;1–3;4;Bahia;23,307;Ligga Arena
10/07/2024;19:00;19;Vasco da Gama;2–0;6;Corinthians;23,307;Estádio Club de Regatas Vasco da Gama
11/07/2024;19:30;16;Palmeiras;3–1;2;Atlético Goianiense;26,897;Allianz Parque
11/07/2024;20:00;10;Flamengo;1–2;12;Fortaleza;57,517;Estadio Jornalista Mário Filho
11/07/2024;20:00;7;Criciúma;1–1;11;Fluminense;11,486;Estádio Heriberto Hülse
11/07/2024;21:30;20;Vitória;0–1;5;Botafogo (RJ);16,489;Estádio Manoel Barradas
11/07/2024;21:30;3;Atlético Mineiro;2–1;18;São Paulo;28,772;Arena MRV
13/07/2024;16:00;8;Cruzeiro;2–1;17;Red Bull Bragantino;20,042;Estádio Raimundo Sampaio
13/07/2024;16:00;4;Bahia;1–2;9;Cuiabá;48,602;Itaipava Arena Fonte Nova
16/07/2024;19:00;15;Juventude;1–1;3;Atlético Mineiro;9,788;Estádio Nacional de Brasília
17/07/2024;19:00;2;Atlético Goianiense;0–1;19;Vasco da Gama;12,089;Estádio Antônio Accioly
17/07/2024;20:00;18;São Paulo;1–0;13;Grêmio;53,168;Estádio do Morumbi
16/07/2024;21:00;6;Corinthians;2–1;7;Criciúma;43,241;Neo Química Arena
17/07/2024;21:30;12;Fortaleza;3–1;20;Vitória;24,813;Estádio Castelão
17/07/2024;21:30;5;Botafogo (RJ);1–0;16;Palmeiras;39,57;Estádio Nilton Santos
20/07/2024;16:00;10;Flamengo;2–1;7;Criciúma;60,127;Estádio Nacional de Brasília
20/07/2024;18:30;5;Botafogo (RJ);1–0;14;Internacional;31,344;Estádio Nilton Santos
21/07/2024;11:00;13;Grêmio;2–0;20;Vitória;25,248;Estádio Francisco Stédile
21/07/2024;16:00;4;Bahia;0–1;6;Corinthians;48,346;Itaipava Arena Fonte Nova
21/07/2024;16:00;3;Atlético Mineiro;2–0;19;Vasco da Gama;42,353;Arena MRV
21/07/2024;18:30;17;Red Bull Bragantino;1–0;1;Athletico Paranaense;4,423;Estádio Nabi Abi Chedid
21/07/2024;18:30;12;Fortaleza;3–1;2;Atlético Goianiense;30,822;Estádio Castelão
21/07/2024;18:30;15;Juventude;0–0;18;São Paulo;26,476;Estádio Nacional de Brasília
21/07/2024;19:00 (20:00);9;Cuiabá;0–1;11;Fluminense;13,231;Arena Pantanal
20/07/2024;21:00;16;Palmeiras;2–0;8;Cruzeiro;40,465;Allianz Parque
24/07/2024;19:00;7;Criciúma;1–1;12;Fortaleza;13,625;Estádio Heriberto Hülse
24/07/2024;19:00;8;Cruzeiro;2–0;15;Juventude;46,603;Estádio Governador Magalhães Pinto
24/07/2024;19:30;18;São Paulo;2–2;5;Botafogo (RJ);53,244;Estádio do Morumbi
24/07/2024;20:00;20;Vitória;1–2;10;Flamengo;30,688;Estádio Manoel Barradas
25/07/2024;20:00;6;Corinthians;2–2;13;Grêmio;45,183;Neo Química Arena
24/07/2024;21:30;2;Atlético Goianiense;1–1;4;Bahia;5,777;Estádio Antônio Accioly
24/07/2024;21:30;11;Fluminense;1–0;16;Palmeiras;51,375;Estadio Jornalista Mário Filho
27/07/2024;19:00;16;Palmeiras;0–2;20;Vitória;39,609;Allianz Parque
27/07/2024;19:00;15;Juventude;1–2;7;Criciúma;6,564;Estádio Alfredo Jaconi
27/07/2024;20:00;4;Bahia;1–1;14;Internacional;32,95;Itaipava Arena Fonte Nova
28/07/2024;11:00;17;Red Bull Bragantino;0–1;11;Fluminense;7,304;Estádio Nabi Abi Chedid
28/07/2024;16:00;10;Flamengo;2–0;2;Atlético Goianiense;61,883;Estadio Jornalista Mário Filho
28/07/2024;18:00 (19:00);9;Cuiabá;1–2;1;Athletico Paranaense;4,452;Arena Pantanal
28/07/2024;19:00;3;Atlético Mineiro;2–1;6;Corinthians;44,048;Arena MRV
28/07/2024;19:00;13;Grêmio;1–0;19;Vasco da Gama;17,621;Arena Condá
27/07/2024;21:30;5;Botafogo (RJ);0–3;8;Cruzeiro;19,349;Estádio Nilton Santos
27/07/2024;21:30;12;Fortaleza;1–0;18;São Paulo;41,322;Estádio Castelão
03/08/2024;16:00;20;Vitória;1–0;9;Cuiabá;26,715;Estádio Manoel Barradas
03/08/2024;19:00;19;Vasco da Gama;2–2;17;Red Bull Bragantino;17,938;Estádio Club de Regatas Vasco da Gama
03/08/2024;20:00;2;Atlético Goianiense;1–4;5;Botafogo (RJ);8,618;Estádio Antônio Accioly
03/08/2024;20:00;7;Criciúma;2–1;3;Atlético Mineiro;15,642;Estádio Heriberto Hülse
04/08/2024;16:00;11;Fluminense;1–0;4;Bahia;50,262;Estadio Jornalista Mário Filho
04/08/2024;16:00;6;Corinthians;1–1;15;Juventude;43,947;Neo Química Arena
04/08/2024;16:00;1;Athletico Paranaense;0–2;13;Grêmio;27,205;Ligga Arena
04/08/2024;17:00;14;Internacional;1–1;16;Palmeiras;20,794;Estádio José Pinheiro Borba
03/08/2024;21:30;18;São Paulo;1–0;10;Flamengo;58,065;Estádio do Morumbi
05/08/2024;21:00;8;Cruzeiro;1–2;12;Fortaleza;20;Estádio Kleber José de Andrade
10/08/2024;16:00;12;Fortaleza;1–0;7;Criciúma;40,311;Estádio Castelão
10/08/2024;18:00 (19:00);9;Cuiabá;1–3;13;Grêmio;9,853;Arena Pantanal
11/08/2024;11:00;15;Juventude;3–2;5;Botafogo (RJ);5,288;Estádio Alfredo Jaconi
11/08/2024;16:00;18;São Paulo;1–0;2;Atlético Goianiense;46,6;Estádio do Morumbi
11/08/2024;16:00;10;Flamengo;1–1;16;Palmeiras;55,051;Estadio Jornalista Mário Filho
11/08/2024;16:00;4;Bahia;2–0;20;Vitória;45,972;Itaipava Arena Fonte Nova
11/08/2024;19:00;14;Internacional;2–2;1;Athletico Paranaense;17,136;Estádio José Pinheiro Borba
10/08/2024;21:30;8;Cruzeiro;0–0;3;Atlético Mineiro;61,583;Estádio Governador Magalhães Pinto
10/08/2024;21:30;6;Corinthians;1–1;17;Red Bull Bragantino;42,018;Neo Química Arena
10/08/2024;21:30;19;Vasco da Gama;2–0;11;Fluminense;20,003;Estádio Nilton Santos
14/08/2024;19:30;14;Internacional;2–1;15;Juventude;11,92;Estádio José Pinheiro Borba
17/08/2024;16:00;3;Atlético Mineiro;1–1;9;Cuiabá;36,29;Arena MRV
17/08/2024;16:00;13;Grêmio;0–2;4;Bahia;56,102;Estádio Alfredo Jaconi
17/08/2024;18:30;17;Red Bull Bragantino;1–2;12;Fortaleza;3,928;Estádio Nabi Abi Chedid
18/08/2024;16:00;7;Criciúma;2–2;19;Vasco da Gama;18,403;Estádio Heriberto Hülse
18/08/2024;16:00;16;Palmeiras;2–1;18;São Paulo;37,244;Allianz Parque
18/08/2024;16:00;2;Atlético Goianiense;1–0;14;Internacional;5,46;Estádio Antônio Accioly
18/08/2024;18:30;1;Athletico Paranaense;1–2;15;Juventude;22,926;Ligga Arena
18/08/2024;18:30;5;Botafogo (RJ);4–1;10;Flamengo;23,731;Estádio Nilton Santos
17/08/2024;21:00;11;Fluminense;0–0;6;Corinthians;30,475;Estadio Jornalista Mário Filho
19/08/2024;20:00;20;Vitória;2–2;8;Cruzeiro;17,062;Estádio Manoel Barradas
24/08/2024;16:00;2;Atlético Goianiense;2–1;15;Juventude;4,407;Estádio Antônio Accioly
24/08/2024;18:30;16;Palmeiras;5–0;9;Cuiabá;30,956;Estádio Brinco de Ouro da Princesa
25/08/2024;16:00;7;Criciúma;0–1;13;Grêmio;17,377;Estádio Heriberto Hülse
25/08/2024;16:00;4;Bahia;0–0;5;Botafogo (RJ);40,198;Itaipava Arena Fonte Nova
25/08/2024;16:00;12;Fortaleza;1–0;6;Corinthians;51,297;Estádio Castelão
25/08/2024;18:30;18;São Paulo;2–1;20;Vitória;32,712;Estádio do Morumbi
25/08/2024;19:00;14;Internacional;1–0;8;Cruzeiro;26,634;Estádio José Pinheiro Borba
25/08/2024;20:00;10;Flamengo;2–1;17;Red Bull Bragantino;28,159;Estadio Jornalista Mário Filho
24/08/2024;21:00;3;Atlético Mineiro;0–2;11;Fluminense;32,068;Estádio Governador Magalhães Pinto
26/08/2024;21:00;19;Vasco da Gama;2–1;1;Athletico Paranaense;16,433;Estádio Club de Regatas Vasco da Gama
28/08/2024;19:30;8;Cruzeiro;0–0;14;Internacional;35,238;Estádio Governador Magalhães Pinto
28/08/2024;19:30;7;Criciúma;1–0;17;Red Bull Bragantino;11,849;Estádio Heriberto Hülse
31/08/2024;17:30 (18:30);9;Cuiabá;2–1;7;Criciúma;4,095;Arena Pantanal
01/09/2024;11:00;8;Cruzeiro;3–1;2;Atlético Goianiense;50;Estádio Governador Magalhães Pinto
01/09/2024;11:00;13;Grêmio;2–3;3;Atlético Mineiro;27,442;Arena do Grêmio
01/09/2024;16:00;6;Corinthians;2–1;10;Flamengo;45,635;Neo Química Arena
01/09/2024;18:30;15;Juventude;1–3;14;Internacional;10,721;Estádio Alfredo Jaconi
01/09/2024;18:30;1;Athletico Paranaense;0–2;16;Palmeiras;28,334;Ligga Arena
01/09/2024;18:30;11;Fluminense;2–0;18;São Paulo;45,759;Estadio Jornalista Mário Filho
01/09/2024;18:30;20;Vitória;0–1;19;Vasco da Gama;20,923;Estádio Manoel Barradas
01/09/2024;18:30;17;Red Bull Bragantino;2–1;4;Bahia;3,921;Estádio Nabi Abi Chedid
31/08/2024;21:00;5;Botafogo (RJ);2–0;12;Fortaleza;32,564;Estádio Nilton Santos
05/09/2024;19:00 (20:00);9;Cuiabá;0–0;15;Juventude;4,826;Arena Pantanal
11/09/2024;19:30;14;Internacional;2–1;12;Fortaleza;26,441;Estádio José Pinheiro Borba
14/09/2024;16:00;2;Atlético Goianiense;0–2;20;Vitória;4,938;Estádio Antônio Accioly
14/09/2024;18:30;1;Athletico Paranaense;1–1;12;Fortaleza;31,551;Ligga Arena
15/09/2024;16:00;17;Red Bull Bragantino;2–2;13;Grêmio;5,228;Estádio Nabi Abi Chedid
15/09/2024;16:00;15;Juventude;2–1;11;Fluminense;6,232;Estádio Alfredo Jaconi
15/09/2024;16:00;16;Palmeiras;5–0;7;Criciúma;37,244;Allianz Parque
15/09/2024;18:30;10;Flamengo;1–1;19;Vasco da Gama;65,2;Estadio Jornalista Mário Filho
15/09/2024;18:30;8;Cruzeiro;0–1;18;São Paulo;55;Estádio Governador Magalhães Pinto
15/09/2024;18:30;4;Bahia;3–0;3;Atlético Mineiro;26,42;Itaipava Arena Fonte Nova
14/09/2024;21:00;5;Botafogo (RJ);2–1;6;Corinthians;32,718;Estádio Nilton Santos
16/09/2024;20:00;14;Internacional;3–0;9;Cuiabá;35,366;Estádio José Pinheiro Borba
21/09/2024;16:00;20;Vitória;1–0;15;Juventude;24,479;Estádio Manoel Barradas
21/09/2024;16:00;6;Corinthians;3–0;2;Atlético Goianiense;46,001;Neo Química Arena
21/09/2024;18:30;11;Fluminense;0–1;5;Botafogo (RJ);22;Estadio Jornalista Mário Filho
22/09/2024;16:00;19;Vasco da Gama;0–1;16;Palmeiras;25,755;Estádio Nacional de Brasília
22/09/2024;16:00;3;Atlético Mineiro;3–0;17;Red Bull Bragantino;34,533;Arena MRV
22/09/2024;17:30 (18:30);9;Cuiabá;0–0;8;Cruzeiro;5,948;Arena Pantanal
22/09/2024;18:30;13;Grêmio;3–2;10;Flamengo;48,504;Arena do Grêmio
22/09/2024;18:30;18;São Paulo;1–3;14;Internacional;35,111;Estádio do Morumbi
22/09/2024;20:00;7;Criciúma;0–0;1;Athletico Paranaense;12,765;Estádio Heriberto Hülse
21/09/2024;21:00;12;Fortaleza;4–1;4;Bahia;42,051;Estádio Castelão
25/09/2024;19:00;13;Grêmio;1–2;7;Criciúma;18,457;Arena do Grêmio
25/09/2024;19:00;17;Red Bull Bragantino;2–2;14;Internacional;3,871;Estádio Nabi Abi Chedid
28/09/2024;18:30;16;Palmeiras;2–1;3;Atlético Mineiro;16,04;Estádio Brinco de Ouro da Princesa
29/09/2024;11:00;15;Juventude;1–1;17;Red Bull Bragantino;6,285;Estádio Alfredo Jaconi
29/09/2024;16:00;12;Fortaleza;1–0;9;Cuiabá;42;Estádio Castelão
29/09/2024;16:00;2;Atlético Goianiense;1–0;11;Fluminense;7,871;Estádio Antônio Accioly
29/09/2024;16:00;18;São Paulo;3–1;6;Corinthians;25,888;Estádio Nacional de Brasília
29/09/2024;18:30;8;Cruzeiro;1–1;19;Vasco da Gama;56,331;Estádio Governador Magalhães Pinto
29/09/2024;18:30;14;Internacional;3–1;20;Vitória;45,112;Estádio José Pinheiro Borba
29/09/2024;18:30;4;Bahia;1–0;7;Criciúma;24,574;Itaipava Arena Fonte Nova
29/09/2024;20:00;10;Flamengo;1–0;1;Athletico Paranaense;30,022;Estadio Jornalista Mário Filho
